year,month,basinmavg,6019,6029,6031,6047,6077,6099,6107,6039,area_burned_km2,decyear
2001,1,43.58915663,38.95,47.43076923,78.28333333,33.8915,26.09090909,28.83333333,62.875,38.95,0.040317833,2001.083333
2001,2,25.88068182,32.35416667,27.86428571,19.53333333,11.5,16.125,18.77777778,28,21.92708334,0,2001.166667
2001,3,16.11651376,18.09354839,15.58333333,15.15555556,16.43333333,11.90909091,16,17,17.26344086,0,2001.25
2001,4,10.38105263,9.585185185,12.19,9.82,8.52,7,7,13.16666667,9.052592593,0,2001.333333
2001,5,11.94716981,11.38666667,13.71935484,12.08333333,10.75,9.928571429,9.818181818,13.7,11.06833334,2.845618174,2001.416667
2001,6,8.968674699,8.719047619,10.59230769,7.333333333,6.975,7.454545455,7,10.5,7.84702381,17.60277397,2001.5
2001,7,11.08969072,11.69642857,11.88709677,7.6,9.26,10.2,9.7,11.55555556,10.47821429,34.89068849,2001.583333
2001,8,10.32783505,9.628571429,12.20322581,8.62,8.36,8.9,8.5,11.875,8.994285715,86.60856489,2001.666667
2001,9,12.4,12.42857143,14.22,8.72,9.8,10,10.9,13.9,11.11428572,60.54660716,2001.75
2001,10,19.79266055,20.36428571,21.5862069,21.8,17,12.1,17.63636364,23.90909091,18.68214286,2.344181495,2001.833333
2001,11,38.91914894,43.168,42.6137931,38.04444444,34.55555556,26.8,30,61,38.86177778,0,2001.916667
2001,12,26.08269231,31.52666667,28.98064516,17.59,23.65,18.25,21.54545455,28.9,27.58833334,0,2002
2002,1,36.09047619,43.13214286,38.74827586,30.41,31.55555556,24.6,25.8,40.66666667,37.34384921,0,2002.083333
2002,2,37.44019608,38.384,44.03333333,35.36,31.68,25.1,34.1,40.8,35.032,0,2002.166667
2002,3,14.42095238,13.27741935,14.45666667,18.8,16.57,11.4,14.6,16.8,14.92370968,0,2002.25
2002,4,10.33157895,8.961538462,11.18571429,10.5,10.56,8.4,8.818181818,14.9,9.760769231,0,2002.333333
2002,5,8.479787234,7.139285714,10.82666667,6.825,7.275,6.555555556,6.777777778,9.6,7.207142857,5.193263099,2002.416667
2002,6,10.19166667,8.5125,12.94666667,9.06,8.88,9.727272727,7.818181818,10.3,8.69625,38.34004939,2002.5
2002,7,12.0364486,10.5516129,14.1,10.63333333,8.65,11.27272727,11.45454545,14.36363636,9.60080645,618.1814333,2002.583333
2002,8,20.62424242,20.77,22.48965517,14.92,17.18,20.9,20,19.7,18.975,7.434423562,2002.666667
2002,9,12.01530612,12.22592593,12.25,9.76,9.22,11.18181818,11.7,14.5,10.72296297,0.977847289,2002.75
2002,10,23.26176471,22.572,26.77857143,23.02222222,21.14,14.3,18.8,30.9,21.856,0.548103908,2002.833333
2002,11,42.82169811,46.27142857,47.56206897,49.78888889,38.41,28.8,33.9,40.5,42.34071429,5.778890509,2002.916667
2002,12,30.50892857,34.32692308,31.53793103,31.74545455,24.47,27.5,29.76923077,27.18181818,29.39846154,0,2003
2003,1,34.44272727,39.13666667,38.14666667,27.81,29.21,26.7,31.1,32.2,34.17333334,0,2003.083333
2003,2,22.11958763,28.976,20.10357143,17.77777778,21.92222222,14.33333333,16.66666667,27.75,25.44911111,0,2003.166667
2003,3,13.14690265,14.52413793,14.68965517,13.80909091,11.86363636,7.090909091,9.818181818,15.45454545,13.19388715,0,2003.25
2003,4,6.889583333,6.175862069,7.439285714,7.7,6.5,7,6.4,7.6,6.337931035,1.176939731,2003.333333
2003,5,9.880434783,9.196551724,11.14545455,9.96,9.06,9.727272727,7.5,12,9.128275862,5.228913344,2003.416667
2003,6,10.6673913,9.657692308,11.47037037,10.45,10.96,11.3,8.6,12.5,10.30884615,61.70989733,2003.5
2003,7,11.7258427,10.83103448,14.05714286,10.08,10.38,11.4,10,13.11111111,10.60551724,138.8932926,2003.583333
2003,8,10.96862745,10.4,12.76896552,12.05,9.92,8.818181818,8,12.72727273,10.16,179.7069669,2003.666667
2003,9,13.31428571,13.30333333,13.98181818,12.74,12.44,11.55555556,11.9,15.6,12.87166667,30.82532638,2003.75
2003,10,16.96190476,16.86774194,17.51304348,23.67,14.76,14.09090909,12.1,19.5,15.81387097,0.06035114,2003.833333
2003,11,29.934,33.75714286,29.55652174,29.6875,28.59,21.18181818,28.4,32.8,31.17357143,0,2003.916667
2003,12,24.39345794,25.59285714,28.83846154,21.00909091,23.26,20.54545455,24.09090909,18.9,24.42642857,0,2004
2004,1,28.82162162,31.4,32.675,29.14545455,25.86363636,21.18181818,23.54545455,28,28.63181818,0,2004.083333
2004,2,16.7212766,19.44642857,13.39090909,15.9875,16.86666667,16.66666667,17.66666667,16,18.15654762,0,2004.166667
2004,3,16.94,16.40666667,20.58846154,21.75714286,13.32222222,10,8.727272727,24.81818182,14.86444445,0,2004.25
2004,4,10.2043956,9.25,11.76086957,10.74,9.88,9,7.8,12.8,9.565,0.837993728,2004.333333
2004,5,8.605208333,7.613333333,10.62222222,9.95,8.62,7.7,5.8,9.3,8.116666667,10.98559148,2004.416667
2004,6,8.916494845,8.542857143,10.77931034,6.9,7.12,7.8,6.7,9.8,7.831428572,28.58470614,2004.5
2004,7,10.8755102,10.3,13.73214286,8.9,8.56,9.3,7.9,11.3,9.43,14.1196656,2004.583333
2004,8,9.562352941,9.592307692,10.99444444,12.25,9.5,8,7.272727273,9.571428571,9.546153846,43.20107732,2004.666667
2004,9,11.05789474,10.51034483,13.84137931,9.46,9.2,9,8.6,10.71428571,9.855172415,24.09158274,2004.75
2004,10,16.818,15.97419355,19.83684211,22.25555556,14.94,11.6,14.4,18.18181818,15.45709678,76.5632119,2004.833333
2004,11,30.05454545,33.93,29.99333333,30.37777778,30.79,23.2,26.8,27.90909091,32.36,0,2004.916667
2004,12,29.33703704,29.79285714,33.87333333,28.32,25.88,25.2,28.2,24.2,27.83642857,0,2005
2005,1,19.36666667,20.77741935,20.14,19.15,19.18181818,16.63636364,20.27272727,15,19.97961877,0,2005.083333
2005,2,23.25108696,22.62222222,29.74090909,22.6625,19.52222222,16,19.11111111,25.125,21.07222222,0,2005.166667
2005,3,15.64636364,15.94642857,17.48709677,17.5,14.25,9.909090909,12.9,17.7,15.09821429,0,2005.25
2005,4,9.008421053,7.164285714,11.68518519,12,8.34,6.5,6.888888889,10.09090909,7.752142857,0,2005.333333
2005,5,8.399029126,6.996551724,10.49677419,7.26,6.1,7,6.181818182,11.36363636,6.548275862,5.541952757,2005.416667
2005,6,8.956521739,8.044,11.49642857,7.775,6.38,7.2,6.4,10.2,7.212,19.87894049,2005.5
2005,7,13.1622449,12.17666667,16.10689655,15.175,9.76,9.8,8.7,16.3,10.96833334,119.6692458,2005.583333
2005,8,12.278125,11.28275862,13.89310345,10.68,9.24,11.33333333,10.8,15.44444444,10.26137931,28.52337051,2005.666667
2005,9,11.52391304,11.10333333,12.89090909,10.02,9.88,11.1,9.6,13.7,10.49166667,39.46551498,2005.75
2005,10,15.35535714,13.49032258,20.54074074,17.21818182,12.14545455,9.6,10.45454545,19.36363636,12.81788857,1.581588852,2005.833333
2005,11,30.94587156,33.72,34.42413793,33.24,27.48,17.90909091,23,36.55555556,30.6,3.458374301,2005.916667
2005,12,36.32475248,40.51666667,37.9,39.08,28.3,27.2,33.2,37,34.40833334,0,2006
2006,1,23.27692308,26.85806452,24.81153846,21.1,20.04444444,16.8,20.9,21.63636364,23.45125448,0,2006.083333
2006,2,27.5029703,29.16071429,33.06521739,24.95,21.53,20.2,24.9,28.5,25.34535715,0,2006.166667
2006,3,8.8625,9.95,9.826666667,5.883333333,5.566666667,7,7.2,11.22222222,7.758333334,0,2006.25
2006,4,7.672916667,7.323333333,8.744444444,4.5,5.96,6.7,6.6,10,6.641666667,0,2006.333333
2006,5,12.14591837,10.89333333,14.20666667,13.66,10.4,10.6,9.1,15,10.64666667,19.61092652,2006.416667
2006,6,10.90430108,9.781481481,14.05,10.24,8.9,8.3,7.9,12.7,9.340740741,22.98706231,2006.5
2006,7,13.387,12.05555556,16.62333333,11.74,11.36,9.363636364,11.27272727,15.63636364,11.70777778,312.6562854,2006.583333
2006,8,12.609,11.03548387,14.98666667,12.3,11.8,10.9,10.8,14.4,11.41774194,41.06198483,2006.666667
2006,9,16.59148936,14.6,22.61923077,12.76,12.46,12.7,13.5,17.77777778,13.53,1.865812824,2006.75
2006,10,16.62053571,15.37741935,18.72666667,19.51,14.39,12.2,13.8,20.36363636,14.88370968,2.588109117,2006.833333
2006,11,25.52596154,27.18666667,27.584,27.74444444,24.58,15.7,19,30.7,25.88333334,0.208517386,2006.916667
2006,12,32.29636364,35.06923077,34.59032258,32.59,29.6,26.09090909,32.18181818,27.6,32.33461539,17.50883441,2007
2007,1,40.12702703,48.22903226,38,38.26,39.74,30.8,34.9,38.22222222,43.98451613,0,2007.083333
2007,2,26.83404255,24.75769231,33.01304348,25.94444444,23.87777778,20.66666667,24.88888889,29,24.31773505,0,2007.166667
2007,3,12.25428571,10,15.09310345,19.775,8.627272727,9.545454545,11.90909091,16.125,9.313636364,0.569349633,2007.25
2007,4,8.859550562,8.266666667,10.14375,9.15,5.92,6,6,13.71428571,7.093333334,5.85586544,2007.333333
2007,5,9.685148515,8.880645161,12.41333333,8.8,8.3,7.1,6.8,10.6,8.590322581,6.587087332,2007.416667
2007,6,9.379347826,8.35862069,12.60833333,6.88,6.5,7.9,7.5,10.77777778,7.429310345,27.35014969,2007.5
2007,7,11.89578947,12.57241379,15.11851852,9.82,10.64,7.5,8.3,10.77777778,11.6062069,13.29484798,2007.583333
2007,8,10.244,8.253333333,14.85925926,9.1,6.42,7.363636364,8.272727273,11.45454545,7.336666667,36.10723184,2007.666667
2007,9,12.60208333,11.87586207,14.34137931,10.5,8.2,10.4,12,16.5,10.03793104,194.3044358,2007.75
2007,10,14.79574468,13.61,22.06111111,15.06,10.53,8.6875,11.95555556,16.93333333,12.07,1.365139066,2007.833333
2007,11,36.42427184,38.11666667,48.78695652,36.01,30.13,18.96363636,24.3,41.45555556,34.12333334,4.556517348,2007.916667
2007,12,29.4127451,34.5,32.14,24.7,26.175,19.74444444,23.84444444,27.84,30.3375,0,2008
2008,1,23.61568627,21.60967742,33.99583333,14.53333333,20.06,16.99,20.29090909,24.21,20.83483871,0,2008.083333
2008,2,23.1254902,22.175,31.33461538,18.33333333,19.74444444,15.61111111,19.38888889,23.38888889,20.95972222,0,2008.166667
2008,3,11.90720721,11.59677419,14.51923077,12.66363636,10.57272727,7.2,8.554545455,15.58,11.08475073,0.147048632,2008.25
2008,4,9.937894737,8.673333333,13.52222222,9.175,7.925,7.711111111,7.22,9.890909091,8.299166667,0.173291578,2008.333333
2008,5,13.04285714,11.27857143,16.77419355,14.64,9.25,9.1,10.81,13.31,10.26428572,69.55809895,2008.416667
2008,6,22.14893617,20.53703704,25.6862069,14.14,20.425,20.88,21.89,22.5,20.48101852,224.1227478,2008.5
2008,7,19.02020202,19.67741935,20.74666667,14.76,10.6,15.9,15.9,22.7,15.13870968,195.7816909,2008.583333
2008,8,10.96907216,9.483870968,14.46666667,8.025,9.2,9.290909091,9.8,10.80909091,9.341935484,4.453174285,2008.666667
2008,9,15.13444444,13.33793103,19.48518519,11.96,13.9,10.22222222,12.27777778,17.3,13.61896552,20.11675151,2008.75
2008,10,17.2853211,14.88064516,19.73571429,22.86,13.34,15.43,16.72,18.67,14.11032258,1.470048933,2008.833333
2008,11,30.61226415,30.54666667,35.53461538,32.53,23.76,22.63,26.77,34.77,27.15333334,0,2008.916667
2008,12,26.08018018,28.38387097,29.71333333,18.22,22.21,21.73,23.11,27.09,25.29693549,0,2009
2009,1,36.31428571,36.8483871,45.26071429,33.59090909,30.83636364,25.32,30.9,35.15454545,33.84237537,0,2009.083333
2009,2,13.77472527,11.396,17.30869565,12.38571429,11.27777778,12.32222222,18.71111111,11.44444444,11.33688889,0,2009.166667
2009,3,9.898130841,7.761290323,13.15555556,11.04,9.422222222,5.52,6.73,14.56,8.591756273,0,2009.25
2009,4,9.031521739,7.517241379,11.33703704,7.975,7.2,7.3,8.11,11.04444444,7.35862069,0.195233322,2009.333333
2009,5,10.08585859,9.016129032,12.52692308,9.8,8.32,7.9,8.854545455,11.65454545,8.668064516,20.90845773,2009.416667
2009,6,8.814736842,7.782758621,11.02,8.633333333,6.92,7.5,7.78,9.7,7.351379311,38.67219621,2009.5
2009,7,10.195,8.833333333,13.33548387,9.58,7.82,7.5,7.58,11.08,8.326666667,39.29347796,2009.583333
2009,8,11.19591837,10.86551724,13.31612903,11.6,9.96,7.588888889,9.08,11.37777778,10.41275862,81.125776,2009.666667
2009,9,10.66326531,10.00333333,12.83793103,11.02,10.1,7.58,8.377777778,11.58,10.05166667,2.31499578,2009.75
2009,10,14.2159292,11.91666667,22.51071429,15.94545455,8.872727273,7.909090909,8.263636364,15.24545455,10.39469697,1.005565866,2009.833333
2009,11,24.92980769,24.79333333,29.48928571,28.8,22.26,17.4125,18.25555556,23.78,23.52666667,0,2009.916667
2009,12,32.93148148,34.64193548,41.80967742,27.34444444,29.9625,23.62222222,24.82,24,32.30221774,0,2010
2010,1,21.76542056,22.88387097,23.74074074,18.24,21.51111111,19.81,22.34,18.1,22.19749104,0,2010.083333
2010,2,17.224,17.30714286,20.444,16.04,16.41111111,11.45555556,16.41111111,16.78,16.85912699,0,2010.166667
2010,3,9.298113208,9.348387097,9.606896552,9.488888889,9.677777778,6.45,8.1,11.21,9.513082438,0,2010.25
2010,4,9.234042553,7.086666667,14.92083333,9.5,7.32,5.42,7.19,8.71,7.203333334,0,2010.333333
2010,5,6.535,6.06,8.22,6.04,5.02,4.66,5.16,7.16,5.54,1.908806024,2010.416667
2010,6,7.290909091,5.952380952,9.665517241,6,4.725,4.833333333,6.33,8.06,5.338690476,17.40248999,2010.5
2010,7,11.94137931,9.958064516,15.04333333,9.7,8.516666667,9.366666667,9.366666667,12.86363636,9.237365592,123.7791281,2010.583333
2010,8,8.849350649,8.442857143,9.260714286,9.28,6.74,9.15,9.15,9.7,7.591428572,21.38922462,2010.666667
2010,9,11.59871795,11.54,12.06153846,11.18,8.5,7.866666667,7.866666667,13.65555556,10.02,39.27072313,2010.75
2010,10,11.7494382,11.29310345,12.83870968,12.71111111,8.075,6.5,6.5,12.82,9.684051725,1.36494783,2010.833333
2010,11,23.64615385,25.4,24.14666667,26.13333333,16.38888889,21.86666667,21.86666667,21.71,20.89444445,0,2010.916667
2010,12,25.49390244,24.01034483,29.892,32.8,20.14,21.45,21.45,21.69090909,22.07517242,0,2011
2011,1,26.63214286,27.52580645,27.46129032,26.77564516,24.02222222,18.46666667,18.46666667,26.09,25.77401434,0,2011.083333
2011,2,14.92428571,16.24285714,13.90833333,15.56130952,14.15555556,4.1,4.1,17.21428571,15.19920635,0,2011.166667
2011,3,8.216049383,7.203225806,9.484615385,9.867307693,6.845454545,5.933333333,5.933333333,10.25,7.024340176,0,2011.25
2011,4,6.680882353,5.876923077,7.15,7.386111111,7.24,5.4,5.4,7.622222222,6.558461539,0.058230252,2011.333333
2011,5,7.369230769,6.610344828,9.215789474,8.602339182,5.28,4.633333333,4.633333333,7.988888889,5.945172414,6.833481684,2011.416667
2011,6,9.840277778,7.410344828,13.65,10.6,7.24,7.4,7.4,7.55,7.325172414,42.27065617,2011.5
2011,7,9.429411765,9.1,10.37727273,10.23863637,7.38,7.066666667,7.066666667,10.1,8.24,102.3660179,2011.583333
2011,8,9.301298701,8.229032258,10.89285714,10.53642857,6.42,7.4,7.4,10.18,7.324516129,28.88632397,2011.666667
2011,9,12.14,11.69666667,13.51304348,13.32152174,7.82,8.85,8.85,13.13,9.758333335,399.8606079,2011.75
2011,10,15.62467532,17.14666667,15.81481481,16.65240741,6.4,14,14,17.49,11.77333334,0.297798287,2011.833333
2011,11,19.31621622,20.45357143,20.6,21.34,8.188888889,26.6,26.6,22.08,14.32123016,0.160056678,2011.916667
2011,12,46.12763158,52.23793103,49.81666667,46.38833334,23.04,45.06666667,45.06666667,42.96,37.63896552,4.867298007,2012
